2026-03-06 12:20:53 | DEBUG    | bot.client | Server time sync: offset=-5368ms
2026-03-06 12:20:53 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5368ms)
2026-03-06 12:20:53 | INFO     | bot.orders | Placing MARKET order | symbol=BTCUSDT side=BUY qty=0.002
2026-03-06 12:20:53 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.002'}
2026-03-06 12:20:53 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.002', 'timestamp': 1772779848503, 'recvWindow': 5000, 'signature': 'ee40e6c3bb260929dffdf77f17425305623ab8c736c3c305594a08e24b4eaad7'}
2026-03-06 12:20:54 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=BUY&type=MARKET&quantity=0.002&timestamp=1772779848503&recvWindow=5000&signature=ee40e6c3bb260929dffdf77f17425305623ab8c736c3c305594a08e24b4eaad7 HTTP/1.1" 200 None
2026-03-06 12:20:54 | DEBUG    | bot.client | ← POST https://testnet.binancefuture.com/fapi/v1/order | status=200 | body={"orderId":12652223861,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"tT654acubtW1rciUhBQ2Qw","price":"0.00","avgPrice":"0.00","origQty":"0.002","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTim
2026-03-06 12:20:54 | INFO     | bot.client | Order response: {'orderId': 12652223861, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'tT654acubtW1rciUhBQ2Qw', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1772779848767}
2026-03-06 12:20:54 | INFO     | __main__ | Order placed successfully | orderId=12652223861
2026-03-06 12:21:20 | INFO     | __main__ | CLI order request | symbol=BTCUSDT side=SELL type=LIMIT qty=0.002 price=80000.0 stop_price=None
2026-03-06 12:21:20 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:21:20 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:21:20 | DEBUG    | bot.client | Server time sync: offset=-5299ms
2026-03-06 12:21:20 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5299ms)
2026-03-06 12:21:20 | INFO     | bot.orders | Placing LIMIT order | symbol=BTCUSDT side=SELL qty=0.002 price=80000 tif=GTC
2026-03-06 12:21:20 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.002', 'price': '80000', 'timeInForce': 'GTC'}
2026-03-06 12:21:20 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.002', 'price': '80000', 'timeInForce': 'GTC', 'timestamp': 1772779875543, 'recvWindow': 5000, 'signature': '5878f0983cf6439214346dd924714a67a52f0aa83d4c783430bded450326a0c3'}
2026-03-06 12:21:21 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=SELL&type=LIMIT&quantity=0.002&price=80000&timeInForce=GTC&timestamp=1772779875543&recvWindow=5000&signature=5878f0983cf6439214346dd924714a67a52f0aa83d4c783430bded450326a0c3 HTTP/1.1" 200 None
2026-03-06 12:21:21 | DEBUG    | bot.client | ← POST https://testnet.binancefuture.com/fapi/v1/order | status=200 | body={"orderId":12652226544,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"xT9z0yBGzPXZOgHgfMTbZs","price":"80000.00","avgPrice":"0.00","origQty":"0.002","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"update
